model,stage_order,stage_name,branch_group,selected_branch_id,MAE,RMSE,R2,MAPE_%
ElasticNet,1,Baseline (N_ST),N_ST,N_ST,26.959668383421967,37.87890222950762,0.6016283372215274,17.038140684518165
ElasticNet,2,N + Random (N_CT_random),N_CT_random,N_CT_random,27.663196671987105,37.43323032800208,0.6109474350126594,17.164442088324154
ElasticNet,3,N + Grid (N_CT_grid),N_CT_grid,N_CT_grid,27.663196671987105,37.43323032800208,0.6109474350126594,17.164442088324154
ElasticNet,4,A · ST (best aug),A_ST,A_ST_feature_noise,26.92359162845846,37.89671760708791,0.6012535211549672,16.992984657168577
ElasticNet,5,A · Random (best aug),A_CT_random,A_CT_random_feature_scaling,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153
ElasticNet,6,A · Grid (best aug),A_CT_grid,A_CT_grid_feature_scaling,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153
Lasso,1,Baseline (N_ST),N_ST,N_ST,33.655203326399295,39.96315208925388,0.556582180890405,21.652666110506328
Lasso,2,N + Random (N_CT_random),N_CT_random,N_CT_random,27.86047674087834,42.52008452171832,0.4980252082400013,16.06034820890115
Lasso,3,N + Grid (N_CT_grid),N_CT_grid,N_CT_grid,27.86047674087834,42.52008452171832,0.4980252082400013,16.06034820890115
Lasso,4,A · ST (best aug),A_ST,A_ST_feature_noise,33.76470611813847,40.043827934874095,0.5547900691959045,21.666762231664016
Lasso,5,A · Random (best aug),A_CT_random,A_CT_random_grouped_scaling,34.23988897418219,44.31060899835254,0.4548586719554206,19.78211165301344
Lasso,6,A · Grid (best aug),A_CT_grid,A_CT_grid_grouped_scaling,34.23988897418219,44.31060899835254,0.4548586719554206,19.78211165301344
Ridge,1,Baseline (N_ST),N_ST,N_ST,42.582849315296414,65.34621258152558,-0.1855899588109835,26.36629651673214
Ridge,2,N + Random (N_CT_random),N_CT_random,N_CT_random,40.2674121654201,63.250227271199115,-0.11075390993071044,23.88981752352984
Ridge,3,N + Grid (N_CT_grid),N_CT_grid,N_CT_grid,40.2674121654201,63.250227271199115,-0.11075390993071044,23.88981752352984
Ridge,4,A · ST (best aug),A_ST,A_ST_feature_noise,43.24379058988059,65.25279451387938,-0.18220257486640068,27.14617301002954
Ridge,5,A · Random (best aug),A_CT_random,A_CT_random_feature_noise,41.51559510077402,64.01920604083557,-0.13792656838843897,25.419786505838417
Ridge,6,A · Grid (best aug),A_CT_grid,A_CT_grid_feature_noise,41.51559510077402,64.01920604083557,-0.13792656838843897,25.419786505838417
