branch_id,data_branch,tuning_method,augmentation_strategy,model,MAE,RMSE,R2,MAPE_%,delta_MAE_vs_baseline,delta_RMSE_vs_baseline,delta_R2_vs_baseline,delta_MAPE_%_vs_baseline,baseline_branch,mae_interpretation
A_ST_feature_noise,A,none,feature_noise,ElasticNet,26.92359162845846,37.89671760708791,0.6012535211549672,16.992984657168577,-0.036076754963506374,0.01781537758029117,-0.00037481606656020183,-0.0451560273495879,N_ST,practical tie (<1 µm)
N_ST,N,none,none,ElasticNet,26.959668383421967,37.87890222950762,0.6016283372215274,17.038140684518165,0.0,0.0,0.0,0.0,N_ST,practical tie (<1 µm)
A_ST_grouped_scaling,A,none,grouped_scaling,ElasticNet,27.03587644172101,37.9805106331311,0.5994882435874869,17.174476760342568,0.07620805829904143,0.10160840362348011,-0.002140093634040552,0.13633607582440277,N_ST,practical tie (<1 µm)
A_ST_feature_scaling,A,none,feature_scaling,ElasticNet,27.067745827786258,37.06400834724109,0.6185844104394445,17.313597773414603,0.1080774443642909,-0.8148938822665244,0.016956073217917034,0.27545708889643805,N_ST,practical tie (<1 µm)
A_CT_grid_feature_scaling,A,grid,feature_scaling,ElasticNet,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153,0.3786018077164215,-3.5537930077869717,0.07124380805387065,0.921490281497988,N_ST,practical tie (<1 µm)
A_CT_random_feature_scaling,A,random,feature_scaling,ElasticNet,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153,0.3786018077164215,-3.5537930077869717,0.07124380805387065,0.921490281497988,N_ST,practical tie (<1 µm)
N_CT_random,N,random,none,ElasticNet,27.663196671987105,37.43323032800208,0.6109474350126594,17.164442088324154,0.7035282885651384,-0.44567190150553415,0.009319097791131936,0.1263014038059893,N_ST,practical tie (<1 µm)
N_CT_grid,N,grid,none,ElasticNet,27.663196671987105,37.43323032800208,0.6109474350126594,17.164442088324154,0.7035282885651384,-0.44567190150553415,0.009319097791131936,0.1263014038059893,N_ST,practical tie (<1 µm)
A_CT_random_grouped_scaling,A,random,grouped_scaling,ElasticNet,28.63168660524925,38.036378719128194,0.5983090976555594,18.106731613098784,1.6720182218272832,0.1574764896205778,-0.003319239565968024,1.068590928580619,N_ST,"marginal (<5 µm, no significativo con n=10)"
A_CT_grid_grouped_scaling,A,grid,grouped_scaling,ElasticNet,28.63168660524925,38.036378719128194,0.5983090976555594,18.106731613098784,1.6720182218272832,0.1574764896205778,-0.003319239565968024,1.068590928580619,N_ST,"marginal (<5 µm, no significativo con n=10)"
A_CT_grid_feature_noise,A,grid,feature_noise,Lasso,35.98316857921169,48.208122937141184,0.35474093630420234,22.197747111766837,9.023500195789726,10.329220707633567,-0.24688740091732508,5.159606427248672,N_ST,empeora
A_CT_random_feature_noise,A,random,feature_noise,Lasso,35.98316857921169,48.208122937141184,0.35474093630420234,22.197747111766837,9.023500195789726,10.329220707633567,-0.24688740091732508,5.159606427248672,N_ST,empeora
